# BEAST v1.8.4
# Generated Tue Jan 21 10:44:43 PST 2020 [seed=1579632280352]
# mumps-NA-DTA-skygrid-25-2020-01-16.xml
state	division
6050000	"north_dakota"
6060000	"michigan"
6070000	"alabama"
6080000	"ontario"
6090000	"pennsylvania"
6100000	"north_carolina"
6110000	"new_york"
6120000	"ohio"
6130000	"indiana"
6140000	"manitoba"
6150000	"washington"
6160000	"louisiana"
6170000	"michigan"
6180000	"arkansas"
6190000	"british_columbia"
6200000	"texas"
6210000	"british_columbia"
6220000	"manitoba"
6230000	"california"
6240000	"manitoba"
6250000	"illinois"
6260000	"illinois"
6270000	"california"
6280000	"manitoba"
6290000	"michigan"
6300000	"california"
6310000	"louisiana"
6320000	"missouri"
6330000	"new_york"
6340000	"louisiana"
6350000	"british_columbia"
6360000	"virginia"
6370000	"ontario"
6380000	"ohio"
6390000	"iowa"
6400000	"ohio"
6410000	"texas"
6420000	"ohio"
6430000	"british_columbia"
6440000	"ontario"
6450000	"montana"
6460000	"british_columbia"
6470000	"wisconsin"
6480000	"british_columbia"
6490000	"iowa"
6500000	"manitoba"
6510000	"kansas"
6520000	"new_jersey"
6530000	"north_dakota"
6540000	"michigan"
6550000	"indiana"
6560000	"ohio"
6570000	"ohio"
6580000	"georgia"
6590000	"missouri"
6600000	"georgia"
6610000	"ontario"
6620000	"iowa"
6630000	"iowa"
6640000	"washington"
6650000	"massachusetts"
6660000	"british_columbia"
6670000	"ohio"
6680000	"montana"
6690000	"indiana"
6700000	"iowa"
6710000	"pennsylvania"
6720000	"alabama"
6730000	"massachusetts"
6740000	"ontario"
6750000	"new_jersey"
6760000	"kansas"
6770000	"kansas"
6780000	"pennsylvania"
6790000	"alabama"
6800000	"north_dakota"
6810000	"illinois"
6820000	"michigan"
6830000	"new_jersey"
6840000	"arkansas"
6850000	"ohio"
6860000	"north_dakota"
6870000	"wisconsin"
6880000	"indiana"
6890000	"massachusetts"
6900000	"alabama"
6910000	"british_columbia"
6920000	"washington"
6930000	"british_columbia"
6940000	"arkansas"
6950000	"british_columbia"
6960000	"texas"
6970000	"louisiana"
6980000	"kansas"
6990000	"alabama"
7000000	"manitoba"
7010000	"new_york"
7020000	"michigan"
7030000	"washington"
7040000	"missouri"
7050000	"wisconsin"
7060000	"massachusetts"
7070000	"british_columbia"
7080000	"ontario"
7090000	"manitoba"
7100000	"new_jersey"
7110000	"indiana"
7120000	"virginia"
7130000	"washington"
7140000	"california"
7150000	"indiana"
7160000	"manitoba"
7170000	"montana"
7180000	"pennsylvania"
7190000	"new_york"
7200000	"kansas"
7210000	"wisconsin"
7220000	"illinois"
7230000	"british_columbia"
7240000	"washington"
7250000	"wisconsin"
7260000	"virginia"
7270000	"michigan"
7280000	"manitoba"
7290000	"new_york"
7300000	"new_jersey"
7310000	"new_york"
7320000	"arkansas"
7330000	"wisconsin"
7340000	"ohio"
7350000	"ohio"
7360000	"california"
7370000	"missouri"
7380000	"arkansas"
7390000	"new_jersey"
7400000	"pennsylvania"
7410000	"washington"
7420000	"manitoba"
7430000	"kansas"
7440000	"arkansas"
7450000	"illinois"
7460000	"manitoba"
7470000	"ontario"
7480000	"pennsylvania"
7490000	"michigan"
7500000	"ontario"
7510000	"washington"
7520000	"missouri"
7530000	"new_hampshire"
7540000	"ontario"
7550000	"montana"
7560000	"new_jersey"
7570000	"washington"
7580000	"michigan"
7590000	"ohio"
7600000	"indiana"
7610000	"washington"
7620000	"north_carolina"
7630000	"manitoba"
7640000	"missouri"
7650000	"kansas"
7660000	"michigan"
7670000	"new_jersey"
7680000	"manitoba"
7690000	"iowa"
7700000	"illinois"
7710000	"california"
7720000	"manitoba"
7730000	"michigan"
7740000	"arkansas"
7750000	"illinois"
7760000	"iowa"
7770000	"washington"
7780000	"iowa"
7790000	"pennsylvania"
7800000	"georgia"
7810000	"ontario"
7820000	"iowa"
7830000	"manitoba"
7840000	"iowa"
7850000	"british_columbia"
7860000	"new_york"
7870000	"ontario"
7880000	"british_columbia"
7890000	"missouri"
7900000	"kansas"
7910000	"michigan"
7920000	"indiana"
7930000	"manitoba"
7940000	"ontario"
7950000	"ontario"
7960000	"wisconsin"
7970000	"ontario"
7980000	"iowa"
7990000	"north_carolina"
8000000	"ontario"
8010000	"new_jersey"
8020000	"wisconsin"
8030000	"new_york"
8040000	"british_columbia"
8050000	"washington"
8060000	"british_columbia"
8070000	"british_columbia"
8080000	"indiana"
8090000	"north_dakota"
8100000	"massachusetts"
8110000	"louisiana"
8120000	"new_york"
8130000	"washington"
8140000	"louisiana"
8150000	"wisconsin"
8160000	"washington"
8170000	"ontario"
8180000	"illinois"
8190000	"washington"
8200000	"missouri"
8210000	"washington"
8220000	"manitoba"
8230000	"california"
8240000	"british_columbia"
8250000	"manitoba"
8260000	"missouri"
8270000	"illinois"
8280000	"arkansas"
8290000	"massachusetts"
8300000	"arkansas"
8310000	"illinois"
8320000	"washington"
8330000	"indiana"
8340000	"missouri"
8350000	"new_york"
8360000	"illinois"
8370000	"arkansas"
8380000	"indiana"
8390000	"indiana"
8400000	"illinois"
8410000	"wisconsin"
8420000	"wisconsin"
8430000	"new_hampshire"
8440000	"new_york"
8450000	"iowa"
8460000	"alabama"
8470000	"north_dakota"
8480000	"ontario"
8490000	"california"
8500000	"washington"
8510000	"new_york"
8520000	"california"
8530000	"arkansas"
8540000	"washington"
8550000	"iowa"
8560000	"wisconsin"
8570000	"new_hampshire"
8580000	"ohio"
8590000	"arkansas"
8600000	"iowa"
8610000	"illinois"
8620000	"iowa"
8630000	"alabama"
8640000	"washington"
8650000	"washington"
8660000	"ontario"
8670000	"iowa"
8680000	"iowa"
8690000	"wisconsin"
8700000	"indiana"
8710000	"missouri"
8720000	"british_columbia"
8730000	"ontario"
8740000	"kansas"
8750000	"pennsylvania"
8760000	"new_hampshire"
8770000	"montana"
8780000	"massachusetts"
8790000	"ontario"
8800000	"montana"
8810000	"montana"
8820000	"illinois"
8830000	"arkansas"
8840000	"virginia"
8850000	"pennsylvania"
8860000	"indiana"
8870000	"massachusetts"
8880000	"ontario"
8890000	"north_carolina"
8900000	"british_columbia"
8910000	"ontario"
8920000	"north_dakota"
8930000	"ontario"
8940000	"pennsylvania"
8950000	"missouri"
8960000	"wisconsin"
8970000	"ontario"
8980000	"british_columbia"
8990000	"ohio"
9000000	"arkansas"
9010000	"british_columbia"
9020000	"british_columbia"
9030000	"washington"
9040000	"indiana"
9050000	"ohio"
9060000	"iowa"
9070000	"kansas"
9080000	"arkansas"
9090000	"iowa"
9100000	"washington"
9110000	"illinois"
9120000	"kansas"
9130000	"arkansas"
9140000	"north_carolina"
9150000	"ontario"
9160000	"north_dakota"
9170000	"iowa"
9180000	"ontario"
9190000	"new_york"
9200000	"kansas"
9210000	"wisconsin"
9220000	"missouri"
9230000	"ontario"
9240000	"virginia"
9250000	"british_columbia"
9260000	"kansas"
9270000	"new_jersey"
9280000	"louisiana"
9290000	"new_hampshire"
9300000	"arkansas"
9310000	"georgia"
9320000	"indiana"
9330000	"ontario"
9340000	"british_columbia"
9350000	"arkansas"
9360000	"new_york"
9370000	"missouri"
9380000	"manitoba"
9390000	"british_columbia"
9400000	"pennsylvania"
9410000	"british_columbia"
9420000	"iowa"
9430000	"massachusetts"
9440000	"wisconsin"
9450000	"new_hampshire"
9460000	"iowa"
9470000	"ontario"
9480000	"pennsylvania"
9490000	"iowa"
9500000	"north_carolina"
9510000	"british_columbia"
9520000	"washington"
9530000	"arkansas"
9540000	"british_columbia"
9550000	"ontario"
9560000	"texas"
9570000	"washington"
9580000	"washington"
9590000	"ontario"
9600000	"new_york"
9610000	"missouri"
9620000	"georgia"
9630000	"washington"
9640000	"virginia"
9650000	"ontario"
9660000	"new_jersey"
9670000	"new_york"
9680000	"ontario"
9690000	"michigan"
9700000	"british_columbia"
9710000	"missouri"
9720000	"new_jersey"
9730000	"california"
9740000	"british_columbia"
9750000	"california"
9760000	"manitoba"
9770000	"arkansas"
9780000	"pennsylvania"
9790000	"illinois"
9800000	"ohio"
9810000	"new_jersey"
9820000	"new_jersey"
9830000	"massachusetts"
9840000	"ontario"
9850000	"arkansas"
9860000	"arkansas"
9870000	"washington"
9880000	"montana"
9890000	"california"
9900000	"montana"
9910000	"missouri"
9920000	"manitoba"
9930000	"new_hampshire"
9940000	"north_dakota"
9950000	"arkansas"
9960000	"washington"
9970000	"massachusetts"
9980000	"iowa"
9990000	"north_dakota"
10000000	"arkansas"
10010000	"michigan"
10020000	"washington"
10030000	"massachusetts"
10040000	"california"
10050000	"massachusetts"
10060000	"missouri"
10070000	"indiana"
10080000	"washington"
10090000	"manitoba"
10100000	"new_york"
10110000	"new_york"
10120000	"michigan"
10130000	"massachusetts"
10140000	"pennsylvania"
10150000	"arkansas"
10160000	"arkansas"
10170000	"north_carolina"
10180000	"california"
10190000	"kansas"
10200000	"new_york"
10210000	"virginia"
10220000	"washington"
10230000	"michigan"
10240000	"michigan"
10250000	"alabama"
10260000	"washington"
10270000	"virginia"
10280000	"arkansas"
10290000	"arkansas"
10300000	"new_hampshire"
10310000	"manitoba"
10320000	"ontario"
10330000	"virginia"
10340000	"manitoba"
10350000	"arkansas"
10360000	"georgia"
10370000	"ohio"
10380000	"british_columbia"
10390000	"new_york"
10400000	"virginia"
10410000	"ohio"
10420000	"georgia"
10430000	"arkansas"
10440000	"massachusetts"
10450000	"wisconsin"
10460000	"massachusetts"
10470000	"illinois"
10480000	"washington"
10490000	"ontario"
10500000	"new_york"
10510000	"british_columbia"
10520000	"kansas"
10530000	"washington"
10540000	"arkansas"
10550000	"new_york"
10560000	"british_columbia"
10570000	"ohio"
10580000	"ontario"
10590000	"arkansas"
10600000	"alabama"
10610000	"indiana"
10620000	"pennsylvania"
10630000	"iowa"
10640000	"washington"
10650000	"arkansas"
10660000	"illinois"
10670000	"british_columbia"
10680000	"north_dakota"
10690000	"ontario"
10700000	"new_york"
10710000	"michigan"
10720000	"ohio"
10730000	"ohio"
10740000	"arkansas"
10750000	"missouri"
10760000	"kansas"
10770000	"michigan"
10780000	"wisconsin"
10790000	"michigan"
10800000	"ohio"
10810000	"washington"
10820000	"ontario"
10830000	"british_columbia"
10840000	"michigan"
10850000	"british_columbia"
10860000	"washington"
10870000	"british_columbia"
10880000	"illinois"
10890000	"manitoba"
10900000	"missouri"
10910000	"wisconsin"
10920000	"iowa"
10930000	"texas"
10940000	"ohio"
10950000	"ohio"
10960000	"pennsylvania"
10970000	"arkansas"
10980000	"pennsylvania"
10990000	"arkansas"
11000000	"new_york"
11010000	"ohio"
11020000	"missouri"
11030000	"manitoba"
11040000	"pennsylvania"
11050000	"ontario"
11060000	"massachusetts"
11070000	"iowa"
11080000	"north_dakota"
11090000	"ohio"
11100000	"montana"
11110000	"missouri"
11120000	"illinois"
11130000	"massachusetts"
11140000	"iowa"
11150000	"arkansas"
11160000	"new_jersey"
11170000	"massachusetts"
11180000	"wisconsin"
11190000	"wisconsin"
11200000	"michigan"
11210000	"california"
11220000	"wisconsin"
11230000	"wisconsin"
11240000	"montana"
11250000	"ontario"
11260000	"iowa"
11270000	"washington"
11280000	"ohio"
11290000	"missouri"
11300000	"iowa"
11310000	"manitoba"
11320000	"new_jersey"
11330000	"washington"
11340000	"alabama"
11350000	"north_dakota"
11360000	"arkansas"
11370000	"massachusetts"
11380000	"north_dakota"
11390000	"british_columbia"
11400000	"ohio"
11410000	"wisconsin"
11420000	"british_columbia"
11430000	"illinois"
11440000	"missouri"
11450000	"kansas"
11460000	"arkansas"
11470000	"iowa"
11480000	"ohio"
11490000	"iowa"
11500000	"michigan"
11510000	"illinois"
11520000	"ontario"
11530000	"arkansas"
11540000	"ohio"
11550000	"arkansas"
11560000	"illinois"
11570000	"wisconsin"
11580000	"new_york"
11590000	"louisiana"
11600000	"missouri"
11610000	"indiana"
11620000	"iowa"
11630000	"british_columbia"
11640000	"montana"
11650000	"washington"
11660000	"washington"
11670000	"michigan"
11680000	"ontario"
11690000	"iowa"
11700000	"california"
11710000	"washington"
11720000	"british_columbia"
11730000	"ontario"
11740000	"new_jersey"
11750000	"pennsylvania"
11760000	"british_columbia"
11770000	"michigan"
11780000	"iowa"
11790000	"arkansas"
11800000	"pennsylvania"
11810000	"indiana"
11820000	"ontario"
11830000	"iowa"
11840000	"alabama"
11850000	"new_jersey"
11860000	"iowa"
11870000	"kansas"
11880000	"ohio"
11890000	"texas"
11900000	"washington"
11910000	"alabama"
11920000	"missouri"
11930000	"iowa"
11940000	"alabama"
11950000	"manitoba"
11960000	"arkansas"
11970000	"british_columbia"
11980000	"pennsylvania"
11990000	"michigan"
12000000	"new_hampshire"
12010000	"washington"
12020000	"ohio"
12030000	"washington"
12040000	"wisconsin"
12050000	"iowa"
12060000	"virginia"
12070000	"british_columbia"
12080000	"arkansas"
12090000	"british_columbia"
12100000	"missouri"
12110000	"ontario"
12120000	"alabama"
12130000	"new_york"
12140000	"georgia"
12150000	"louisiana"
12160000	"michigan"
12170000	"virginia"
12180000	"pennsylvania"
12190000	"ohio"
12200000	"new_york"
12210000	"washington"
12220000	"kansas"
12230000	"michigan"
12240000	"ohio"
12250000	"virginia"
12260000	"arkansas"
12270000	"missouri"
12280000	"british_columbia"
12290000	"new_jersey"
12300000	"virginia"
12310000	"massachusetts"
12320000	"illinois"
12330000	"missouri"
12340000	"illinois"
12350000	"wisconsin"
12360000	"alabama"
12370000	"iowa"
12380000	"missouri"
12390000	"north_dakota"
12400000	"kansas"
12410000	"illinois"
12420000	"ohio"
12430000	"british_columbia"
12440000	"virginia"
12450000	"alabama"
12460000	"washington"
12470000	"pennsylvania"
12480000	"louisiana"
12490000	"new_york"
12500000	"wisconsin"
12510000	"louisiana"
12520000	"illinois"
12530000	"massachusetts"
12540000	"ontario"
12550000	"missouri"
12560000	"ontario"
12570000	"california"
12580000	"virginia"
12590000	"georgia"
12600000	"manitoba"
12610000	"montana"
12620000	"louisiana"
12630000	"ohio"
12640000	"washington"
12650000	"wisconsin"
12660000	"new_york"
12670000	"arkansas"
12680000	"british_columbia"
12690000	"washington"
12700000	"ohio"
12710000	"missouri"
12720000	"iowa"
12730000	"ontario"
12740000	"washington"
12750000	"virginia"
12760000	"california"
12770000	"wisconsin"
12780000	"manitoba"
12790000	"texas"
12800000	"texas"
12810000	"wisconsin"
12820000	"british_columbia"
12830000	"washington"
12840000	"kansas"
12850000	"ohio"
12860000	"pennsylvania"
12870000	"ohio"
12880000	"wisconsin"
12890000	"new_jersey"
12900000	"wisconsin"
12910000	"washington"
12920000	"massachusetts"
12930000	"iowa"
12940000	"pennsylvania"
12950000	"kansas"
12960000	"arkansas"
12970000	"new_york"
12980000	"illinois"
12990000	"michigan"
13000000	"massachusetts"
13010000	"ontario"
13020000	"arkansas"
13030000	"iowa"
