state	number_transitions
tree STATE_20130000	16
tree STATE_20140000	14
tree STATE_20150000	13
tree STATE_20160000	13
tree STATE_20170000	13
tree STATE_20180000	15
tree STATE_20190000	13
tree STATE_20200000	14
tree STATE_20210000	13
tree STATE_20220000	13
tree STATE_20230000	14
tree STATE_20240000	13
tree STATE_20250000	13
tree STATE_20260000	12
tree STATE_20270000	13
tree STATE_20280000	14
tree STATE_20290000	13
tree STATE_20300000	13
tree STATE_20310000	12
tree STATE_20320000	16
tree STATE_20330000	15
tree STATE_20340000	16
tree STATE_20350000	12
tree STATE_20360000	12
tree STATE_20370000	12
tree STATE_20380000	14
tree STATE_20390000	14
tree STATE_20400000	14
tree STATE_20410000	13
tree STATE_20420000	13
tree STATE_20430000	12
tree STATE_20440000	14
tree STATE_20450000	14
tree STATE_20460000	16
tree STATE_20470000	14
tree STATE_20480000	14
tree STATE_20490000	14
tree STATE_20500000	13
tree STATE_20510000	14
tree STATE_20520000	14
tree STATE_20530000	13
tree STATE_20540000	14
tree STATE_20550000	14
tree STATE_20560000	14
tree STATE_20570000	14
tree STATE_20580000	13
tree STATE_20590000	13
tree STATE_20600000	12
tree STATE_20610000	13
tree STATE_20620000	13
tree STATE_20630000	12
tree STATE_20640000	14
tree STATE_20650000	14
tree STATE_20660000	14
tree STATE_20670000	15
tree STATE_20680000	15
tree STATE_20690000	13
tree STATE_20700000	15
tree STATE_20710000	14
tree STATE_20720000	15
tree STATE_20730000	14
tree STATE_20740000	15
tree STATE_20750000	15
tree STATE_20760000	14
tree STATE_20770000	14
tree STATE_20780000	14
tree STATE_20790000	14
tree STATE_20800000	15
tree STATE_20810000	15
tree STATE_20820000	15
tree STATE_20830000	14
tree STATE_20840000	13
tree STATE_20850000	15
tree STATE_20860000	14
tree STATE_20870000	14
tree STATE_20880000	14
tree STATE_20890000	16
tree STATE_20900000	13
tree STATE_20910000	14
tree STATE_20920000	14
tree STATE_20930000	13
tree STATE_20940000	13
tree STATE_20950000	14
tree STATE_20960000	16
tree STATE_20970000	16
tree STATE_20980000	12
tree STATE_20990000	12
tree STATE_21000000	12
tree STATE_21010000	15
tree STATE_21020000	11
tree STATE_21030000	12
tree STATE_21040000	14
tree STATE_21050000	13
tree STATE_21060000	13
tree STATE_21070000	12
tree STATE_21080000	13
tree STATE_21090000	13
tree STATE_21100000	13
tree STATE_21110000	12
tree STATE_21120000	14
tree STATE_21130000	14
tree STATE_21140000	14
tree STATE_21150000	13
tree STATE_21160000	13
tree STATE_21170000	14
tree STATE_21180000	13
tree STATE_21190000	14
tree STATE_21200000	13
tree STATE_21210000	13
tree STATE_21220000	15
tree STATE_21230000	14
tree STATE_21240000	13
tree STATE_21250000	14
tree STATE_21260000	13
tree STATE_21270000	13
tree STATE_21280000	13
tree STATE_21290000	13
tree STATE_21300000	13
tree STATE_21310000	13
tree STATE_21320000	13
tree STATE_21330000	12
tree STATE_21340000	12
tree STATE_21350000	11
tree STATE_21360000	12
tree STATE_21370000	11
tree STATE_21380000	14
tree STATE_21390000	14
tree STATE_21400000	12
tree STATE_21410000	13
tree STATE_21420000	12
tree STATE_21430000	15
tree STATE_21440000	13
tree STATE_21450000	13
tree STATE_21460000	14
tree STATE_21470000	13
tree STATE_21480000	13
tree STATE_21490000	11
tree STATE_21500000	15
tree STATE_21510000	16
tree STATE_21520000	14
tree STATE_21530000	14
tree STATE_21540000	14
tree STATE_21550000	14
tree STATE_21560000	13
tree STATE_21570000	12
tree STATE_21580000	14
tree STATE_21590000	13
tree STATE_21600000	13
tree STATE_21610000	14
tree STATE_21620000	14
